11/11/22 12:22:12 PM | rory | https://open.spotify.com/album/5jPQa1BcteUZm0h0pxuEDg?si=jSQfkBKEQguyv7yHCOyBYQ&utm_source=whatsapp | album
11/13/22 8:54:30 PM | dave | https://open.spotify.com/album/3xtwcBeltPMO0I4PnDfV0k?si=5WuYnExWTfqB53BFlbNK-g | album
11/18/22 1:53:14 PM | rory | https://open.spotify.com/album/3BHVEMienVRnrpWJJCJSgN?si=d75VyfU7QlOgh6JwZd-rcw&utm_source=whatsapp | album
11/18/22 3:22:18 PM | dave | https://open.spotify.com/album/3pfNU5FIwyvTjtxxtQXK9l?si=4lTlzvRQRRixqTpEfMQvCA | album
11/19/22 4:44:42 AM | ferg | https://open.spotify.com/album/1rfgmU0AYNwWfS88pCOlX7?si=izstBP3rSye94firmksEuA | album
11/19/22 9:21:37 AM | neil | https://open.spotify.com/album/0CvU96jYCiNP4c9u8dWHoI?si=NyljO-5jSYmN0ZkCqWq3Lg&utm_source=whatsapp | album
11/26/22 6:42:45 PM | dave | https://open.spotify.com/album/231jpal5NKt2c1QFN1D6AZ?si=fFNXc6i2RYm5ObBP9-GLfg | album
11/27/22 6:43:45 AM | neil | https://open.spotify.com/album/0H6nfrkNnV5m67o6qVOGT3?si=v4gxPxLKSTS_rMKyO_ToEw&utm_source=whatsapp | album
11/28/22 9:46:38 AM | ferg | https://open.spotify.com/album/4nOym5RKE8Opauf3rMxPAW?si=aoNTRFzCQLSxwrG76bVDVw | album
11/28/22 9:53:41 AM | rory | https://open.spotify.com/album/6x3e4qZeY518KCtSkb3ns3?si=0fmSNS0KTjmO0WCEjmIzaw&utm_source=whatsapp | album
12/3/22 4:07:21 AM | ferg | https://open.spotify.com/album/0tmnvC5ue44iAfQfL1LBFd?si=vQqgF1smTpm9OygiFkLN_g | album
12/3/22 4:15:24 AM | neil | https://open.spotify.com/album/2GuROKcqyHdpIDcgxml1C7?si=FogfNmVbSAScICxN9oxCDw&utm_source=whatsapp | album
12/5/22 3:00:56 AM | rory | https://open.spotify.com/album/630o1rKTDsLeIPreOY1jqP?si=_dzrGLcKTSq-lMh24c44rA&utm_source=whatsapp | album
12/6/22 3:04:38 PM | dave | https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3?si=b23J8ywsR7OhjE_K-1wRRw | album
12/9/22 6:53:59 PM | dave | https://open.spotify.com/album/0Ysl8PFnCzqyvjbAhaCMvf?si=my5XDrL1QFGQDBZXk8IdXA | album
12/10/22 12:51:35 PM | rory | https://open.spotify.com/album/6jBRjtrgSlOvQvrSdtQa8Q?si=vtgrkNi6Rz2bZC_TETegZQ&utm_source=whatsapp | album
12/11/22 8:11:39 AM | ferg | https://open.spotify.com/album/7oiUfuyk01h71NTmBUSk6D?si=tfAWYe7zRqi-WJTAacihrw | album
12/12/22 11:44:09 AM | neil | https://open.spotify.com/album/34uTUAM6SE8Eo6Cv4PRqwD?si=6SDdllSlRQypMi87U5EpCw&utm_source=whatsapp | album
12/16/22 12:43:45 PM | rory | https://open.spotify.com/album/2Geg4mwE8z9DO5BSSUoMKz?si=lMNU80d3QRCS6i81MoGaWg&utm_source=whatsapp | album
12/16/22 12:55:50 PM | neil | https://open.spotify.com/album/1WwiyWxa40PKucRxIKlEVM?si=_5w1LIJWSlCWusow1RfnOg&utm_source=whatsapp | album
